"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0.6771385191968,0.116217760173244,0.570907754765547,1
2,1,1,0.786565167701672,0.169802717184141,0.937992041519734,1
3,1,1,0.623612044354374,0.0439229629469773,0.172177758697528,1
4,1,1,0.653380593290407,0.17922451873731,0.903979943901036,1
5,1,1,0.709395442218311,0.00291039671122254,0.0108222937911798,1
6,1,1,0.723040517222123,0.113192330758906,0.602414981976977,1
7,1,1,0.903233353943975,0.0318409176771735,0.136317714025503,1
8,1,1,0.685572539820364,0.179494764773107,0.997116645696886,1
9,1,1,0.477326691956719,0.0463653799673436,0.185724321226983,1
10,1,1,0.902019726715682,0.170782903616696,0.895377844557434,1
11,1,1,0.807851503462756,0.20416299308296,0.975953722095523,1
12,1,1,0.642741800124632,0.0954088196284507,0.300265556647519,1
13,1,1,0.476249693994894,0.146676727567991,0.565241401766279,1
14,1,1,0.696074571748106,0.0694377862378402,0.316849423450997,1
15,1,1,0.657823462917508,0.024632548647175,0.100653966675401,1
16,1,1,0.887701006005962,0.108567217691132,0.492386448632148,1
17,1,1,0.872613514686746,0.125096980509926,0.480262445071388,1
18,1,1,0.575871117304334,0.175467725263249,0.765374509808486,1
19,1,1,0.806270135405165,0.0047011766293595,0.019823876593322,1
20,1,1,0.644129081747211,0.113866547956323,0.548381313455091,1
21,1,1,0.833578104263095,0.0362083588010832,0.114112375288576,1
22,1,1,0.722568582928245,0.019310520100625,0.0742073011101037,1
23,1,1,0.739571474418792,0.107389908031903,0.502387180152719,1
24,1,1,0.749836405247355,0.159882196373176,0.776929732724866,1
25,1,1,0.793500065669792,0.140453139676818,0.705358986000979,1
26,1,1,0.737872019028802,0.16067343466525,0.953262488390479,1
27,1,1,0.728407105362775,0.196534703004447,0.98377856850513,1
28,1,1,0.665642913749077,0.102611129052906,0.508976112331828,1
29,1,1,0.754916308599149,0.147415724076728,0.732049961662577,1
30,1,1,0.535453753536265,0.0428898173046809,0.15952564520334,1
31,1,1,0.284909681531299,0.103052644901279,0.293637581007922,1
32,1,1,0.983348388885971,0.0961931565499149,0.38651580578422,1
33,1,1,0.841194748163081,0.0943250960697886,0.456531407263197,1
34,1,1,0.62272026261383,0.208049152200767,0.996651504939727,1
35,1,1,0.972477311107191,0.0805657133535806,0.277377733908433,1
36,1,1,0.640332219829429,0.17619327362715,0.870521698214071,1
37,1,1,0.844399330879563,0.0333739830973318,0.124089477221596,1
38,1,1,0.672005754463235,0.209935614496217,0.975630223474771,1
39,1,1,0.944076443131711,0.103434469449608,0.497548466548265,1
40,1,1,0.885949129224873,0.141557330880264,0.788788888106259,1
41,1,1,0.796161073897276,0.210788145505312,0.902282906123065,1
42,1,1,0.84346977603269,0.200819876570987,0.990545695151505,1
43,1,1,0.547897907330086,0.00528319349754294,0.0144167235369317,1
44,1,1,0.877669099147192,0.125996776332761,0.635293237345544,1
45,1,1,0.75478953121257,0.168474927186354,0.816812236156071,1
46,1,1,0.730507631955384,0.146888835261263,0.641115936353696,1
47,1,1,0.705878137057221,0.0772183571984976,0.387337559901224,1
48,1,1,0.595361356485192,0.236056400924054,0.927783930157895,1
49,1,1,0.617769104133631,0.126049547295796,0.609783307506037,1
50,1,1,0.523556313140418,0.0468304845204947,0.213535657499963,1
51,1,1,0.649691871871852,0.0718244256345521,0.33947597659684,1
52,1,1,0.87286639067704,0.152456416574145,0.612962037406963,1
53,1,1,0.834064806465353,0.133551749134678,0.60828587373117,1
54,1,1,0.903498314196916,0.141642540855095,0.661782911437074,1
55,1,1,0.921684545414508,0.169159351489534,0.857862396758069,1
56,1,1,0.908550433993927,0.134178918836473,0.597722635667003,1
57,1,1,0.574331194829677,0.0619460396107086,0.268302541885511,1
58,1,1,0.646208991606279,0.205944769602358,0.997187108281773,1
59,1,1,0.662474408719427,0.154386913740547,0.8822848410765,1
60,1,1,0.751199099163456,0.176764466376495,0.881771893881019,1
61,1,1,0.749958152253116,0.17302470982932,0.795640143551785,1
62,1,1,0.690381241977667,0.171556574474703,0.954273958341236,1
63,1,1,0.740553164600883,0.187341914214446,0.969288414075457,1
64,1,1,0.797214111836779,0.163920327422287,0.97966222641031,1
65,1,1,0.733134540874649,0.100269824938169,0.518194286084343,1
66,1,1,0.624626259696655,0.190408045099981,0.858320198700598,1
67,1,1,0.578796595928069,0.0380672964640042,0.164033959388324,1
68,1,1,0.910690446495301,0.185577927732849,0.753749734795862,1
69,1,1,0.922739374941991,0.124400384094017,0.634282463483196,1
70,1,1,0.566918603074521,0.25052835530143,0.916456013517288,1
71,1,1,0.693007236808676,0.0738769444654343,0.376216629507811,1
72,1,1,0.959126930487873,0.207082675046698,0.912174633272597,1
73,1,1,0.626110968508344,0.182768326487131,0.991083894889278,1
74,1,1,0.887746883032586,0.161663494538547,0.972171091375955,1
75,1,1,0.71462191440918,0.169071661460142,0.731716454307449,1
76,1,1,0.849688206745246,0.159125517284049,0.987481559473882,1
77,1,1,0.5501673255702,0.286457401713228,0.992148363419058,1
78,1,1,0.602899940010847,0.0354386059596534,0.138647225222627,1
79,1,1,0.80181338154899,0.126831690778839,0.690470542878196,1
80,1,1,0.789137981895672,0.166412622256021,0.860457961855805,1
81,1,1,0.475657846974661,0.0478335924552467,0.192048114848864,1
82,1,1,0.754136335497976,0.171641326572994,0.993807972604769,1
83,1,1,0.569731525871985,0.112771086633603,0.501470446894739,1
84,1,1,0.566085342559771,0.188796053574228,0.827723702336889,1
85,1,1,0.755658007499023,0.158204358474054,0.808119533419805,1
86,1,1,0.852626401497731,0.0202712738947942,0.0867358645036616,1
87,1,1,0.746499901590878,0.18318459861824,0.997495978844409,1
88,1,1,0.820321093485815,0.170414755183787,0.99687226423016,1
89,1,1,0.680634477096939,0.0226451729008827,0.104827472991826,1
90,1,1,0.825883307400024,0.161632541416688,0.948834202938596,1
91,1,1,0.808919733355289,0.16126577073282,0.983491222679941,1
92,1,1,0.875107064750709,0.196113996254711,0.930408710326767,1
93,1,1,0.713923860011174,0.184951200713511,0.999982669981431,1
94,1,1,0.730093512084403,0.139841228616089,0.765220564306145,1
95,1,1,0.821760475063052,0.172469715427009,0.893544403450634,1
96,1,1,0.518727204106656,0.00891828121767856,0.035277461800242,1
97,1,1,0.890524305455194,0.157995926882633,0.759733457683717,1
98,1,1,0.37658724713231,0.017417516903603,0.0417565486856616,1
99,1,1,0.992266614138073,0.133600678240525,0.694677838565114,1
100,1,1,0.502454243780925,0.0225486098449658,0.0910598749872454,1
1,2,1,0,0,0.098469085979138,0
2,2,1,0,0,0.0365568785830442,0
3,2,1,0,0,0.696937446924479,0
4,2,1,0,0,0.169955184530196,0
5,2,1,0,0,0.841138092309248,0
6,2,1,0,0,0.153021423475264,0
7,2,1,0,0,0.944089188539056,0
8,2,1,0,0,0.826005653636876,0
9,2,1,0,0,0.89948952462836,0
10,2,1,0,0,0.907788441755884,0
11,2,1,0,0,0.987043846183958,0
12,2,1,0,0,0.0956165603566203,0
13,2,1,0,0,0.999794870549008,0
14,2,1,0,0,0.803242598200677,0
15,2,1,0,0,0.664764360404375,0
16,2,1,0,0,0.501110053484973,0
17,2,1,0,0,0.987187588235104,0
18,2,1,0,0,0.279751729019663,0
19,2,1,0,0,0.00968730671723334,0
20,2,1,0,0,0.154470015477489,0
21,2,1,0,0,0.938518856651117,0
22,2,1,0,0,0.711660667905549,0
23,2,1,0,0,0.928857525180505,0
24,2,1,0,0,0.98834697206339,0
25,2,1,0,0,0.559783957036864,0
26,2,1,0,0,0.276057916494937,0
27,2,1,0,0,0.991398237145938,0
28,2,1,0,0,0.875944330216935,0
29,2,1,0,0,0.546686815451432,0
30,2,1,0,0,0.986523018444816,0
31,2,1,0,0,0.0137811458416736,0
32,2,1,0,0,0.910881698567996,0
33,2,1,0,0,0.997959392007517,0
34,2,1,0,0,0.443050232002035,0
35,2,1,0,0,0.828287496981849,0
36,2,1,0,0,0.988623435127938,0
37,2,1,0,0,0.19580746556161,0
38,2,1,0,0,0.0953173675684939,0
39,2,1,0,0,0.825129423998137,0
40,2,1,0,0,0.898039449738046,0
41,2,1,0,0,0.014663147356808,0
42,2,1,0,0,0.922265192563547,0
43,2,1,0,0,0.0929427962951017,0
44,2,1,0,0,0.934656632518216,0
45,2,1,0,0,0.245509816110455,0
46,2,1,0,0,0.579482439967191,0
47,2,1,0,0,0.388346822192422,0
48,2,1,0,0,0.0130961729288231,0
49,2,1,0,0,0.144766250989884,0
50,2,1,0,0,0.126621328172547,0
51,2,1,0,0,0.483184534425175,0
52,2,1,0,0,0.948326279209149,0
53,2,1,0,0,0.7186026951482,0
54,2,1,0,0,0.472286053271945,0
55,2,1,0,0,0.403562037172516,0
56,2,1,0,0,0.295562525904393,0
57,2,1,0,0,0.787228820074606,0
58,2,1,0,0,0.797771554756535,0
59,2,1,0,0,0.65966538355116,0
60,2,1,0,0,0.887436518550355,0
61,2,1,0,0,0.118327109208296,0
62,2,1,0,0,0.785208365674841,0
63,2,1,0,0,0.248440289726585,0
64,2,1,0,0,0.989469744504879,0
65,2,1,0,0,0.970343880321746,0
66,2,1,0,0,0.749020817428925,0
67,2,1,0,0,0.922847133514049,0
68,2,1,0,0,0.371569156195776,0
69,2,1,0,0,0.279304766472976,0
70,2,1,0,0,0.370645234367408,0
71,2,1,0,0,0.668837361660659,0
72,2,1,0,0,0.504276300934541,0
73,2,1,0,0,0.532518958388446,0
74,2,1,0,0,0.99743920282522,0
75,2,1,0,0,0.853085606943385,0
76,2,1,0,0,0.996062255558363,0
77,2,1,0,0,0.214910557369036,0
78,2,1,0,0,0.215790916035214,0
79,2,1,0,0,0.946283906242882,0
80,2,1,0,0,0.997769173783341,0
81,2,1,0,0,0.910332878914697,0
82,2,1,0,0,0.126251626012596,0
83,2,1,0,0,0.890549515186991,0
84,2,1,0,0,0.960160949122536,0
85,2,1,0,0,0.316902068878237,0
86,2,1,0,0,0.97662645389328,0
87,2,1,0,0,0.64541969906232,0
88,2,1,0,0,0.0472144942859279,0
89,2,1,0,0,0.0258578074267326,0
90,2,1,0,0,0.192680041369111,0
91,2,1,0,0,0.993105170483186,0
92,2,1,0,0,0.306625479960382,0
93,2,1,0,0,0.104962753146001,0
94,2,1,0,0,0.72797680578687,0
95,2,1,0,0,0.663500632283252,0
96,2,1,0,0,0.0144411076265833,0
97,2,1,0,0,0.0233512705972491,0
98,2,1,0,0,0.269651548056089,0
99,2,1,0,0,0.706822343797578,0
100,2,1,0,0,0.0266093700756673,0
1,3,1,0.659194294087159,0.0711231155515707,0.232821197444288,1
2,3,1,0.620063284675628,0.17463944001645,0.659663344861685,1
3,3,1,0.907286556206738,0.118398719503643,0.358452840901614,1
4,3,1,0.840466913616186,0.208511821602631,0.794072615638289,1
5,3,1,0.409355277452782,0.534880493733361,0.987429592878828,1
6,3,1,0.690671256867512,0.215990686079791,0.809111445581072,1
7,3,1,0.808947352632026,0.147087936886753,0.535933342133327,1
8,3,1,0.687991850437023,0.242003545346079,0.923585373919292,1
9,3,1,0.9758155953337,0.0274211586271514,0.0801435568579123,1
10,3,1,0.573512102387705,0.252108630754242,0.916299852115599,1
11,3,1,0.433670131153039,0.307690140061851,0.995650698331566,1
12,3,1,0.435950986170216,0.22099616900937,0.346858562514235,1
13,3,1,0.742925229784207,0.281630081867554,0.919247853551174,1
14,3,1,0.915745138966729,0.259109934679606,0.95851360882686,1
15,3,1,0.757876855340213,0.268118185357821,0.782981341513654,1
16,3,1,0.571235947452479,0.235472668033618,0.825635507652423,1
17,3,1,0.772496252933825,0.220016686709728,0.789941885586019,1
18,3,1,0.464259997699697,0.0221904737250037,0.0483645912295586,1
19,3,1,0.465981113228262,0.295337710071199,0.886817823764557,1
20,3,1,0.907346014672092,0.260755307582351,0.982196291352528,1
21,3,1,0.823569210989301,0.195020447640792,0.617908066311637,1
22,3,1,0.936401586388536,0.21227760112523,0.679431353718083,1
23,3,1,0.53139403012737,0.198766552055247,0.561287902985143,1
24,3,1,0.782756613023755,0.153198176701451,0.571977657414975,1
25,3,1,0.819584788246167,0.24609823348405,0.998413001153273,1
26,3,1,0.626187660403444,0.161944421312847,0.642964608320971,1
27,3,1,0.67508519647783,0.258184676719246,0.900237967953101,1
28,3,1,0.577198454347498,0.116555682944187,0.352427052796759,1
29,3,1,0.625036733369629,0.0208809072196425,0.0699968033673459,1
30,3,1,0.914951293190904,0.365821854532222,0.998109175549445,1
31,3,1,0.607676039377917,0.0589717914346128,0.134302149565461,1
32,3,1,0.686654495729763,0.233437514460976,0.757339904919555,1
33,3,1,0.422326777103321,0.268831349214529,0.711325441088076,1
