"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0,0,0.453530630331999,0
2,1,1,0,0,0.718847500713822,0
3,1,1,0,0,0.99717067711095,0
4,1,1,0,0,0.798428125950956,0
5,1,1,0,0,0.999963544658864,0
6,1,1,0,0,0.973616788746644,0
7,1,1,0,0,0.328267305309219,0
8,1,1,0,0,0.294030660191231,0
9,1,1,0,0,0.0498024754881436,0
10,1,1,0,0,0.502280084343865,0
11,1,1,0,0,0.702466099842287,0
12,1,1,0,0,0.010074168953049,0
13,1,1,0,0,0.0979358866523067,0
14,1,1,0,0,0.146030451069856,0
15,1,1,0,0,0.173373096714034,0
16,1,1,0,0,0.996212260293107,0
17,1,1,0,0,0.0256363323341254,0
18,1,1,0,0,0.05436425632535,0
19,1,1,0,0,0.790862894853859,0
20,1,1,0,0,0.890853389664707,0
21,1,1,0,0,0.426001292513687,0
22,1,1,0,0,0.525777282041693,0
23,1,1,0,0,0.994811365090231,0
24,1,1,0,0,0.115664649199265,0
25,1,1,0,0,0.766306337161509,0
26,1,1,0,0,0.651008530653699,0
27,1,1,0,0,0.950083527236637,0
28,1,1,0,0,0.988535406714139,0
29,1,1,0,0,0.668748482795647,0
30,1,1,0,0,0.585078154780275,0
31,1,1,0,0,0.872205478326838,0
32,1,1,0,0,0.51898348569592,0
33,1,1,0,0,0.392625636008621,0
34,1,1,0,0,0.96354953600206,0
35,1,1,0,0,0.54102930168081,0
36,1,1,0,0,0.886623156412262,0
37,1,1,0,0,0.650502253505695,0
38,1,1,0,0,0.879967089290748,0
39,1,1,0,0,0.026010498932163,0
40,1,1,0,0,0.592575331093319,0
41,1,1,0,0,0.355413695314999,0
42,1,1,0,0,0.458695595507102,0
43,1,1,0,0,0.305443843495301,0
44,1,1,0,0,0.223465288096023,0
45,1,1,0,0,0.778691776459429,0
46,1,1,0,0,0.172844750975292,0
47,1,1,0,0,0.574366048114365,0
48,1,1,0,0,0.127861966810125,0
49,1,1,0,0,0.492751656539414,0
50,1,1,0,0,0.982187417184967,0
51,1,1,0,0,0.995464454274126,0
52,1,1,0,0,0.998926830427299,0
53,1,1,0,0,0.0517861853149424,0
54,1,1,0,0,0.153620035693329,0
55,1,1,0,0,0.671112113235476,0
56,1,1,0,0,0.199750639481122,0
57,1,1,0,0,0.324733086649882,0
58,1,1,0,0,0.858617161500193,0
59,1,1,0,0,0.107302594022305,0
60,1,1,0,0,0.248942427305434,0
61,1,1,0,0,0.537483076318855,0
62,1,1,0,0,0.195711721899977,0
63,1,1,0,0,0.338113067229985,0
64,1,1,0,0,0.804715609433708,0
65,1,1,0,0,0.0250728628726277,0
66,1,1,0,0,0.988289546077749,0
67,1,1,0,0,0.885417891979236,0
68,1,1,0,0,0.997227817758545,0
69,1,1,0,0,0.952330750278431,0
70,1,1,0,0,0.580331180372183,0
71,1,1,0,0,0.855819747602063,0
72,1,1,0,0,0.769866904901668,0
73,1,1,0,0,0.158447016601208,0
74,1,1,0,0,0.427050113956762,0
75,1,1,0,0,0.597098656647553,0
76,1,1,0,0,0.950643614218554,0
77,1,1,0,0,0.970248439708249,0
78,1,1,0,0,0.840591451826006,0
79,1,1,0,0,0.968671498430392,0
80,1,1,0,0,0.854673104689423,0
81,1,1,0,0,0.846965387622816,0
