"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0,0,0.0829988387158204,0
2,1,1,0,0,0.0873644920668082,0
3,1,1,0,0,0.998561980865125,0
4,1,1,0,0,0.295815095447463,0
5,1,1,0,0,0.199710795067691,0
6,1,1,0,0,0.825356576986402,0
7,1,1,0,0,0.930664424556433,0
8,1,1,0,0,0.991546874612167,0
9,1,1,0,0,0.384766468498438,0
10,1,1,0,0,0.992584200644905,0
11,1,1,0,0,0.821120898060072,0
12,1,1,0,0,0.509136489317819,0
13,1,1,0,0,0.899880309055652,0
14,1,1,0,0,0.950710618013096,0
15,1,1,0,0,0.60590251361607,0
16,1,1,0,0,0.155546193688041,0
17,1,1,0,0,0.995994743214799,0
18,1,1,0,0,0.316752260502037,0
19,1,1,0,0,0.178391681125338,0
20,1,1,0,0,0.554116257993601,0
21,1,1,0,0,0.914111182988464,0
22,1,1,0,0,0.974666551081212,0
23,1,1,0,0,0.762325622937028,0
24,1,1,0,0,0.925180930237214,0
25,1,1,0,0,0.998378646913871,0
26,1,1,0,0,0.508516014183119,0
27,1,1,0,0,0.482791104250004,0
28,1,1,0,0,0.605871943946069,0
29,1,1,0,0,0.1606035357121,0
30,1,1,0,0,0.88290945347208,0
31,1,1,0,0,0.401659218982594,0
32,1,1,0,0,0.239218946474601,0
33,1,1,0,0,0.710709277058848,0
34,1,1,0,0,0.513330469027496,0
35,1,1,0,0,0.192505465890267,0
36,1,1,0,0,0.184317296828024,0
37,1,1,0,0,0.853636505931497,0
38,1,1,0,0,0.0136167864617646,0
39,1,1,0,0,0.868326816008562,0
40,1,1,0,0,0.0033268458631201,0
41,1,1,0,0,0.427881710744005,0
42,1,1,0,0,0.714839117853007,0
43,1,1,0,0,0.76458523576921,0
44,1,1,0,0,0.966169312421501,0
45,1,1,0,0,0.928172648014518,0
46,1,1,0,0,0.188591520425346,0
47,1,1,0,0,0.694216887999471,0
48,1,1,0,0,0.135318319119773,0
49,1,1,0,0,0.209073002314563,0
50,1,1,0,0,0.227100748409692,0
51,1,1,0,0,0.431931685577926,0
52,1,1,0,0,0.11761441769045,0
53,1,1,0,0,0.12205638564296,0
54,1,1,0,0,0.156706839909274,0
55,1,1,0,0,0.0477563767429392,0
56,1,1,0,0,0.979076441019913,0
57,1,1,0,0,0.975813374425986,0
58,1,1,0,0,0.188938319846383,0
59,1,1,0,0,0.96348102305562,0
60,1,1,0,0,0.0654251310030911,0
61,1,1,0,0,0.998265906227666,0
62,1,1,0,0,0.194991165690306,0
63,1,1,0,0,0.161139895476711,0
64,1,1,0,0,0.694039326693479,0
65,1,1,0,0,0.97668064739342,0
66,1,1,0,0,0.983168394926988,0
67,1,1,0,0,0.952384084679606,0
68,1,1,0,0,0.358883047044249,0
69,1,1,0,0,0.601317022555198,0
70,1,1,0,0,0.982100225670884,0
71,1,1,0,0,0.711975437419453,0
72,1,1,0,0,0.437100528873428,0
73,1,1,0,0,0.915735529096861,0
74,1,1,0,0,0.97598782480569,0
75,1,1,0,0,0.77306095865669,0
76,1,1,0,0,0.501713665191329,0
77,1,1,0,0,0.947962759054091,0
78,1,1,0,0,0.0282637488261974,0
79,1,1,0,0,0.983158823435006,0
80,1,1,0,0,0.568437739316017,0
81,1,1,0,0,0.986745813985708,0
82,1,1,0,0,0.581441313053728,0
83,1,1,0,0,0.230925045461463,0
84,1,1,0,0,0.176734670922618,0
85,1,1,0,0,0.822970261457577,0
86,1,1,0,0,0.918682844418432,0
87,1,1,0,0,0.84320712381734,0
88,1,1,0,0,0.0209184591420541,0
89,1,1,0,0,0.998985023315736,0
90,1,1,0,0,0.0203135879949499,0
91,1,1,0,0,0.828259995905937,0
92,1,1,0,0,0.0872782678999437,0
93,1,1,0,0,0.432396856090541,0
94,1,1,0,0,0.0505394420255936,0
95,1,1,0,0,0.433668853703285,0
96,1,1,0,0,0.853145556533119,0
97,1,1,0,0,0.0998241261022839,0
98,1,1,0,0,0.913026745493639,0
99,1,1,0,0,0.0263955638581788,0
