"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0.667781257925054,0.116278912095453,0.68940807424339,1
2,1,1,0.82947659024978,0.0221898265881073,0.151188742311277,1
3,1,1,0.880068768892664,0.0777755810945631,0.539379689317938,1
4,1,1,0.901993348544111,0.128274680272341,0.850217216397074,1
5,1,1,0.689517751657366,0.0635397674024058,0.44519831078959,1
6,1,1,0.533442503404685,0.0798272242308064,0.49470638018119,1
7,1,1,0.922905964119624,0.108287712898145,0.75296080575625,1
8,1,1,0.596348150489314,0.0938473978988568,0.657165554553761,1
9,1,1,0.933200792767848,0.0963601290197193,0.675340463953338,1
10,1,1,0.709450303308373,0.11525777018281,0.989774526280471,1
11,1,1,0.597580027028122,0.0149841930613708,0.0912438026838946,1
12,1,1,0.380668037778128,0.11463084814653,0.578197983131254,1
13,1,1,0.590648269968473,0.00575315287200897,0.0340681519579301,1
14,1,1,0.883504399601788,0.103387319964425,0.793123410173956,1
15,1,1,0.697952387418255,0.0149710400724113,0.0803343533817552,1
16,1,1,0.795671656215845,0.0989045199161899,0.894958534492512,1
17,1,1,0.638992947690885,0.103613817363951,0.849140248534192,1
18,1,1,0.723644122354431,0.118385706894926,0.91360831797137,1
19,1,1,0.436520230560194,0.0966709604781548,0.523663714207575,1
20,1,1,0.818542539069368,0.108499100711272,0.896813282948859,1
21,1,1,0.455252633322938,0.123933246357813,0.692549445487835,1
22,1,1,0.971263789297391,0.0159354082461502,0.099280808217117,1
23,1,1,0.57923321733362,0.111782434391756,0.767318390323154,1
24,1,1,0.917795533581644,0.0534000021234303,0.325278962715951,1
25,1,1,0.756578217669596,0.0958756480487347,0.611718952241135,1
26,1,1,0.824059514272161,0.120150710813936,0.999879384187965,1
27,1,1,0.60707367307928,0.175571287456077,0.968226801452916,1
28,1,1,0.913263303028947,0.0773144162618646,0.463022426760017,1
29,1,1,0.756466415442121,0.0976936119984661,0.840131440235026,1
30,1,1,0.723320841852136,0.130864294535478,0.921821015242904,1
31,1,1,0.705876894091225,0.129158082647327,0.997513022350783,1
32,1,1,0.926482745548103,0.101844852175637,0.856828738641988,1
33,1,1,0.812148152321848,0.112040785437282,0.934081976959303,1
34,1,1,0.642868229537606,0.0725307524711125,0.544186739472532,1
35,1,1,0.628355837763379,0.173193275561535,0.998360841719873,1
36,1,1,0.985533234705483,0.0128970538381596,0.0872750325195761,1
37,1,1,0.608470149086401,0.137388221182382,0.983475144752406,1
38,1,1,0.751304717287139,0.0505212378542547,0.359588071634921,1
39,1,1,0.818179385245527,0.099211848937596,0.725517234007679,1
40,1,1,0.563235883263042,0.146260921868134,0.998472384933389,1
41,1,1,0.734630624319789,0.00788132645547651,0.0471509332403858,1
42,1,1,0.743505886545869,0.0643714596282414,0.450681137361292,1
43,1,1,0.631027835172763,0.134514050660698,0.96439666467775,1
44,1,1,0.779006777842432,0.125335889465087,0.988201330511523,1
45,1,1,0.715740759959225,0.0930230651900456,0.756016149356562,1
46,1,1,0.670713333535144,0.0494395054692346,0.316494157610609,1
