"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0.432076051777716,0.087532646409201,0.497836534827052,1
2,1,1,0.566057776346933,0.068953868986825,0.452126022070949,1
3,1,1,0.627460736309614,0.00237119553279335,0.0121447315870843,1
4,1,1,0.574418935700734,0.0669198704083631,0.444957551487237,1
5,1,1,0.302346397725259,0.0171100961902062,0.0784861534517529,1
6,1,1,0.507416719820537,0.0745538216500781,0.486921282331857,1
7,1,1,0.508253225465234,0.00119914458506043,0.00490745893881354,1
8,1,1,0.835225448804259,0.0997560904605367,0.58770775834997,1
9,1,1,0.376618569025758,0.162639134883633,0.994746515659262,1
10,1,1,0.536652392008952,0.119640096281658,0.994079202217193,1
11,1,1,0.479908032886909,0.172230464723457,0.996280472667916,1
12,1,1,0.521341815334968,0.131919508000942,0.995082639375263,1
13,1,1,0.369077143458106,0.15163071395658,0.926270579739294,1
14,1,1,0.391711960128218,0.0953311055142129,0.60881843684063,1
15,1,1,0.432122878589202,0.0249604864246621,0.138300827068644,1
16,1,1,0.309962188115401,0.0294239257524638,0.136760142636045,1
17,1,1,0.318536770983941,0.166003029857438,0.819508202240742,1
18,1,1,0.427252917787732,0.128453161721014,0.846248397084989,1
19,1,1,0.443689055817741,0.130890274288136,0.859231661878087,1
20,1,1,0.203073349663162,0.0740112157230932,0.272509364407397,1
21,1,1,0.424544180810277,0.126078059887377,0.841491963470153,1
22,1,1,0.75842014043669,0.107313836989921,0.690961571537752,1
23,1,1,0.463282959623692,0.017151300836946,0.0998013125523276,1
24,1,1,0.334724201985449,0.0879563268030115,0.499340519405297,1
25,1,1,0.411566552712663,0.0486134429025648,0.330465534996059,1
26,1,1,0.475666117285397,0.0635003080959067,0.378771140377309,1
27,1,1,0.434245531676577,0.139587644339791,0.925441518303692,1
28,1,1,0.647386987691519,0.100272780897671,0.629499800302248,1
29,1,1,0.50178971310814,0.0881589389885232,0.593772705899098,1
30,1,1,0.515231428067699,0.0574433488431576,0.342332119089979,1
31,1,1,0.434910814253324,0.125033449453133,0.725498496413578,1
32,1,1,0.384464726611487,0.165630912682478,0.99995212011158,1
33,1,1,0.487914110206753,0.171894707294433,0.885307456124484,1
34,1,1,0.415717531305525,0.0377413521098618,0.211445632657526,1
35,1,1,0.483179760834171,0.140456064806141,0.983052896312729,1
36,1,1,0.464764084088202,0.136505688399141,0.905057885930759,1
37,1,1,0.601876419060971,0.144120403674097,0.997525901709621,1
38,1,1,0.592582021716947,0.0587310499796087,0.376868225152006,1
39,1,1,0.456554870275215,0.0740868496908807,0.536717333914746,1
40,1,1,0.501046160520376,0.149754892661872,0.955994078508742,1
41,1,1,0.413680803650332,0.146647300023602,0.962976946658304,1
42,1,1,0.672336007172565,0.0641060632362937,0.412000602310002,1
43,1,1,0.530012903819696,0.0973603286747575,0.655776570840348,1
44,1,1,0.477271012949842,0.115320033647899,0.72017608523978,1
45,1,1,0.578437248057072,0.0457811511838366,0.245278384696268,1
46,1,1,0.538591494867468,0.0582561613377506,0.416220101240325,1
47,1,1,0.503593898565809,0.0923291449799848,0.528928739267523,1
48,1,1,0.303177679058675,0.193712538072581,0.910315147964149,1
49,1,1,0.203010626643229,0.164552285460594,0.58162381479286,1
50,1,1,0.630442283610967,0.0723822495246085,0.448209121353533,1
51,1,1,0.41891000987502,0.149773745084907,0.983043641689044,1
52,1,1,0.579988660561412,0.125828610835312,0.998089861757536,1
53,1,1,0.610010852360371,0.0876520374664568,0.543961328306472,1
54,1,1,0.64903195996437,0.038993355306441,0.274601661121786,1
55,1,1,0.44436924284723,0.104515091063172,0.677637147679959,1
56,1,1,0.488095557925739,0.113961819044565,0.849466791765067,1
57,1,1,0.580053686757,0.0427434071415235,0.233470305493759,1
58,1,1,0.411259329738343,0.224587912878723,0.998126912365682,1
59,1,1,0.270180592687382,0.0921108016976992,0.405682752411765,1
60,1,1,0.437868815178368,0.136616679889741,0.8085894540185,1
61,1,1,0.576887397188862,0.0261922730751571,0.177640335905808,1
62,1,1,0.56172356273322,0.14320200871044,0.908349584703308,1
63,1,1,0.356617027461856,0.145162064816413,0.997913005219201,1
64,1,1,0.559128523454408,0.114122867764931,0.833878725051389,1
65,1,1,0.491829579774513,0.194346630774635,0.991298101871181,1
66,1,1,0.472385271504401,0.150587778064176,0.983229399827808,1
67,1,1,0.429386515258289,0.0192758615929228,0.103838974397428,1
68,1,1,0.540783002039237,0.105839579073971,0.845698751971323,1
69,1,1,0.314323142589242,0.0486509547306857,0.249655404778542,1
70,1,1,0.484099322176093,0.143913412152798,0.986025866494071,1
71,1,1,0.277861771613648,0.00950237547105935,0.035187758125689,1
72,1,1,0.759741367215411,0.0801839920064049,0.45710826382417,1
73,1,1,0.68155310661216,0.0608722711428821,0.415970126378112,1
74,1,1,0.396383436736624,0.142838632426251,0.967077270208976,1
75,1,1,0.48675919854634,0.125426573008114,0.999876883827617,1
76,1,1,0.554974126735201,0.104637910833376,0.571374497216521,1
77,1,1,0.342124545491604,0.217927309965264,0.998606689767542,1
78,1,1,0.498400740811004,0.161486507378505,0.999772331672714,1
79,1,1,0.44974793196212,0.147157030379994,0.967699099079752,1
80,1,1,0.404544351884625,0.116243187729197,0.757655531367684,1
81,1,1,0.530435376778784,0.0758405351455251,0.459746505937613,1
82,1,1,0.450670320426634,0.101490593772821,0.697021324393208,1
83,1,1,0.399880170309965,0.0879112606244079,0.600675907621798,1
84,1,1,0.449235518917223,0.00669809674757849,0.0307007013634668,1
85,1,1,0.470887032962548,0.222528146615417,0.982632616954882,1
86,1,1,0.521073142630146,0.138696427074978,0.979100452903914,1
87,1,1,0.513599816400577,0.0646730656585465,0.444753682551644,1
88,1,1,0.498517641638634,0.0715570708285106,0.427923961720028,1
89,1,1,0.583128167982926,0.1294733525113,0.990575450771426,1
90,1,1,0.610253405701224,0.106275290299643,0.743937370992684,1
91,1,1,0.517736977403007,0.12900325045597,0.999614230906099,1
92,1,1,0.568383812164789,0.103471475128468,0.792261657975363,1
93,1,1,0.637560935277526,0.106543291994615,0.650109903657333,1
94,1,1,0.422726552874927,0.134338970466039,0.924070677872844,1
95,1,1,0.411834672951821,0.0714976625883173,0.460047164162055,1
96,1,1,0.444634666832676,0.132755712035782,0.999130794818829,1
97,1,1,0.452413650942132,0.126457168476002,0.892268592153438,1
98,1,1,0.441794837829136,0.0889115596764078,0.596712966305549,1
99,1,1,0.714554163609549,0.113543827851917,0.749882264978037,1
