"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0.582380991950044,0.109454776847423,0.895480524133456,1
2,1,1,0.519867811640273,0.162170029264286,0.970085507118969,1
3,1,1,0.42606350495007,0.0261927044145361,0.160378608478912,1
4,1,1,0.556650808662375,0.122644058669693,0.999967517946857,1
5,1,1,0.425526682676911,0.00983822674664268,0.0604510430469556,1
6,1,1,0.348161865375092,0.0778563510858533,0.527912654390911,1
7,1,1,0.586641056817106,0.118773670978591,0.996516158368419,1
8,1,1,0.856203511072102,0.0707634969648831,0.47563343321128,1
9,1,1,0.55492221347972,0.0556749027511614,0.495854547635992,1
10,1,1,0.566664870781504,0.103309830118772,0.933745233523804,1
11,1,1,0.629138127159082,0.111625333825018,0.998070185917008,1
12,1,1,0.626090195896599,0.117343941515432,0.910389769458857,1
13,1,1,0.48483929778011,0.118677085892913,0.869979465613494,1
14,1,1,0.548844734412172,0.106219782340958,0.98239099762682,1
15,1,1,0.693036871584441,0.0837164111752992,0.726271597960159,1
16,1,1,0.213321060169076,0.0850615973540641,0.383827837492444,1
17,1,1,0.377594206768788,0.02051245497933,0.124873420038665,1
18,1,1,0.573728049892691,0.110437031258976,0.923016263291167,1
19,1,1,0.609738079037397,0.0922057253656739,0.712204440086876,1
20,1,1,0.548855335766532,0.124763635129367,0.995318398213516,1
21,1,1,0.582617220863327,0.130280076089241,0.973265838478929,1
22,1,1,0.281840068029224,0.191391749230994,0.943552278703542,1
23,1,1,0.622928188059892,0.0686124193257878,0.57895245021051,1
24,1,1,0.709534732602515,0.0413229784251382,0.283941095806564,1
25,1,1,0.416745624361692,0.131383287682287,0.997347504440845,1
26,1,1,0.620873952846402,0.0914429503853542,0.862186443683133,1
27,1,1,0.809351706502048,0.133136353342962,0.909188290783397,1
28,1,1,0.609852169050488,0.0557188872753889,0.404364314664845,1
29,1,1,0.364921525490795,0.0577164891550792,0.408558268859827,1
30,1,1,0.49059167099575,0.00379052182272416,0.0239642569135075,1
31,1,1,0.582314611469258,0.126551947399845,0.998317070614149,1
32,1,1,0.369773177062419,0.0788887104475974,0.555242912577941,1
33,1,1,0.670941656046076,0.0570339131561728,0.412367645075928,1
34,1,1,0.836300367115633,0.0218791195615096,0.167212518141127,1
35,1,1,0.617404619025639,0.0978429517659244,0.940561336562261,1
36,1,1,0.614184272645475,0.0449137838211606,0.345700303249047,1
37,1,1,0.569148141515582,0.104487191677233,0.953788302514229,1
38,1,1,0.567555773558254,0.0920151848060769,0.850476670109596,1
39,1,1,0.394843127711907,0.0805128237209057,0.574823843501533,1
40,1,1,0.514041732648536,0.170605838155463,0.879411345006125,1
41,1,1,0.366513192620157,0.00702866387001921,0.0435119873892646,1
42,1,1,0.58044750475544,0.0129840971869766,0.080813706252602,1
43,1,1,0.565051942420617,0.0510030816918006,0.452345645492131,1
44,1,1,0.477041601202439,0.0414387401260574,0.277155765541098,1
45,1,1,0.36494925798008,0.0272872113049411,0.181737746666637,1
46,1,1,0.485407639189379,0.0460949977756234,0.342430496121631,1
47,1,1,0.464742618954956,0.0394385388619097,0.298352886263237,1
48,1,1,0.519176384214735,0.0840522723271612,0.733565864545421,1
49,1,1,0.484928449945332,0.0036407050427875,0.0222273599299976,1
50,1,1,0.350836688337297,0.119719306901644,0.819178095327671,1
51,1,1,0.612444698958169,0.0901892173792342,0.873133684937718,1
52,1,1,0.505575597550712,0.118694118277999,0.966236853833664,1
53,1,1,0.523538147562552,0.0923900338269201,0.684406338429922,1
54,1,1,0.510144472249976,0.118293610993888,0.899912877481532,1
55,1,1,0.544056605910761,0.111295902897612,0.9922794884789,1
56,1,1,0.912569864671325,0.00651892278573127,0.0361761956590688,1
57,1,1,0.46362140618974,0.107504450472339,0.941143338675726,1
58,1,1,0.352037499264164,0.0771630515498842,0.511973779386656,1
59,1,1,0.571459723768894,0.101496777412519,0.899712844212234,1
60,1,1,0.489108092017925,0.140986590131059,0.999300588412191,1
61,1,1,0.560294032192132,0.0811735397852902,0.724926687696484,1
62,1,1,0.432659642710738,0.0889058031453322,0.628479020096527,1
63,1,1,0.543464238421,0.129191411099445,0.98872555782281,1
64,1,1,0.314058683916359,0.0330843957455196,0.193967364077192,1
65,1,1,0.394031436412615,0.0967522870421876,0.647014528088086,1
66,1,1,0.742869565094921,0.103808889438117,0.80742767642419,1
67,1,1,0.563746925972304,0.00629146298772913,0.047649366777057,1
68,1,1,0.783295892098456,0.00445161736756829,0.0233597840564567,1
69,1,1,0.471281367918535,0.204157271969029,0.995249109046501,1
70,1,1,0.552560809206456,0.064467124849155,0.428387336126818,1
71,1,1,0.670718129939461,0.00293039261165161,0.022609625491498,1
72,1,1,0.39864036181902,0.16654145089525,0.990742768214591,1
73,1,1,0.443037895025404,0.049507184490288,0.394614483268779,1
74,1,1,0.495346392140176,0.121241932855964,0.999958995422591,1
75,1,1,0.569697681802399,0.112263830622754,0.942299221238346,1
76,1,1,0.693473010727795,0.080591855629009,0.583543490214736,1
77,1,1,0.479914301306202,0.0937215940629821,0.857245819110731,1
78,1,1,0.189719747304336,0.0010446870722205,0.00360442841960671,1
79,1,1,0.476147129189181,0.0106314748170007,0.0719892621529198,1
80,1,1,0.569931679621076,0.111617729930028,0.910071371469723,1
81,1,1,0.656230631263035,0.0436990780234892,0.308304584196762,1
82,1,1,0.57752378887501,0.101961683136289,0.880734636458799,1
83,1,1,0.329443617935321,0.139915604351844,0.81435754652866,1
84,1,1,0.39801201152881,0.00532745257604861,0.0336425178025066,1
85,1,1,0.602700159960665,0.0753422478201848,0.708771025288948,1
86,1,1,0.520452670795384,0.148800307017604,0.971947265043462,1
87,1,1,0.48797534092812,0.114419877907007,0.972394079838542,1
88,1,1,0.510284280352904,0.151917007812097,0.949895916760091,1
89,1,1,0.269747284163668,0.0169599973558461,0.0869799914591313,1
90,1,1,0.599458329259721,0.101680539844136,0.852451262446105,1
91,1,1,0.573546742836618,0.0766054522679342,0.576533105329403,1
92,1,1,0.421807363315003,0.0146256615963994,0.0904723116915987,1
93,1,1,0.489237302194791,0.117213490284653,0.997789925490017,1
