"replica","resource","consumer","R","S","TM","Minc"
1,1,1,0.930524448226385,0.20931302302411,0.981135220200361,1
2,1,1,0.900152156019002,0.144651205977283,0.538086145608824,1
3,1,1,0.92656714146219,0.158345489728686,0.672313260190329,1
4,1,1,0.879981867528832,0.0643483756970475,0.24579669172355,1
5,1,1,0.706353272573456,0.131896462472966,0.466450166998261,1
6,1,1,0.718811058748807,0.128984025311653,0.522306617560567,1
7,1,1,0.629913517472868,0.295964062608176,0.939639209526041,1
8,1,1,0.840401589807107,0.169181194936843,0.863000223224588,1
9,1,1,0.717329447347309,0.262248250590461,0.999367178311702,1
10,1,1,0.914808742277386,0.0529003950092833,0.215988731065421,1
11,1,1,0.697908903537668,0.152367287963385,0.64220274039634,1
12,1,1,0.86289382696496,0.221724211869601,0.992892423760174,1
13,1,1,0.876472228096994,0.143950259246777,0.55696328289588,1
14,1,1,0.925584896474366,0.0174400113750104,0.0799985813748642,1
15,1,1,0.753041004992711,0.0761290509811643,0.342261309227185,1
16,1,1,0.795201911796863,0.254150688405045,0.946979673940329,1
17,1,1,0.973242822540359,0.237306615609187,0.969156711787003,1
18,1,1,0.890498145434021,0.04936493725115,0.189502127872279,1
19,1,1,0.771904795916276,0.205022044037474,0.910087726119864,1
20,1,1,0.98210551828401,0.094892450350947,0.359303904868767,1
21,1,1,0.988147561637153,0.200729520787884,0.983948870369371,1
22,1,1,0.939586038538284,0.203906275817231,0.984135635215317,1
23,1,1,0.906865027839384,0.0714733272912282,0.299734163724673,1
24,1,1,0.923771135102476,0.239024896623318,0.879240281834891,1
25,1,1,0.86396630373814,0.209976257367049,0.883039504270695,1
26,1,1,0.973574506497115,0.182702784681048,0.991613395227648,1
27,1,1,0.800009337428917,0.057084975051089,0.197351485717662,1
28,1,1,0.960526510349167,0.116643951902143,0.565207444354351,1
29,1,1,0.674690469925821,0.0854797926705063,0.340794833890435,1
30,1,1,0.642074519127178,0.22810083475228,0.838815698545676,1
31,1,1,0.901139549513754,0.148969296578232,0.788428237763033,1
32,1,1,0.808876205374519,0.209307520229819,0.820907884700837,1
33,1,1,0.796509890638063,0.240327052536003,0.893986336380731,1
34,1,1,0.872295575531883,0.135348000086419,0.49017340265892,1
35,1,1,0.60244596139864,0.276341958601557,0.896591717747853,1
36,1,1,0.938624688058868,0.14913521671891,0.584296764861728,1
37,1,1,0.951171924548108,0.183072719756461,0.868452921933018,1
38,1,1,0.941285560972728,0.193395197549137,0.857489293916568,1
39,1,1,0.92483378339953,0.180476368212181,0.990710387762389,1
40,1,1,0.729077652415497,0.295136402509817,0.979789085220341,1
41,1,1,0.860601415647428,0.196606608683136,0.971474965060031,1
42,1,1,0.823293014410332,0.243365629410436,0.937368793776844,1
43,1,1,0.832525310297918,0.191805687020329,0.894762976476599,1
44,1,1,0.972845183127981,0.130370135660103,0.675575981340605,1
45,1,1,0.905005741316757,0.301362869583943,0.958690119344526,1
46,1,1,0.913634894128095,0.121375816152455,0.549459293056817,1
47,1,1,0.910498540031551,0.100333651900683,0.407675151049207,1
48,1,1,0.963826982987489,0.0549813963172079,0.216550773811529,1
49,1,1,0.792487399710675,0.0257095398158001,0.0930796455765972,1
50,1,1,0.93326970806014,0.219159365582744,0.999656721809992,1
51,1,1,0.987393654441799,0.153487539818406,0.773030800478387,1
52,1,1,0.884110475766569,0.18576314357965,0.99273662422532,1
53,1,1,0.943452419474721,0.0159235207949229,0.0604749154265837,1
54,1,1,0.902526389061845,0.204897190664667,0.775287487037952,1
55,1,1,0.984721724941893,0.218285896182767,0.7592038633668,1
56,1,1,0.828949472008263,0.188343746626213,0.798966934179427,1
57,1,1,0.927178517500344,0.223596595536832,0.89333711445357,1
58,1,1,0.886802896823942,0.0624179762990281,0.28522879566133,1
59,1,1,0.954535996542668,0.00812657525271434,0.0286552668336354,1
60,1,1,0.832391545881704,0.0120113272362798,0.0370108138026669,1
61,1,1,0.859132990481522,0.112335447975002,0.531685036591304,1
62,1,1,0.598488251294762,0.230545960025852,0.834944860839347,1
63,1,1,0.863083439206947,0.192979215046177,0.973860332258845,1
64,1,1,0.994866024676843,0.175799993180611,0.858840434259913,1
65,1,1,0.961185556835562,0.192251973995016,0.999778231758635,1
66,1,1,0.867375257877801,0.202192686498443,0.821165528245501,1
67,1,1,0.837626915465655,0.054147760218737,0.162244556159984,1
68,1,1,0.964529749511923,0.166206572263466,0.749137453133442,1
69,1,1,0.926619562357776,0.0420929548423179,0.143677579057237,1
70,1,1,0.745343670611477,0.205293475518867,0.776680990758665,1
71,1,1,0.888044788415147,0.0337071105289386,0.114313078903163,1
72,1,1,0.969048085517224,0.18902245728663,0.943155755299334,1
73,1,1,0.757921909005782,0.084864171905614,0.302145288413846,1
74,1,1,0.798451242098284,0.0515013051401656,0.209085566273184,1
75,1,1,0.944064638140181,0.102244201837004,0.524351762801825,1
76,1,1,0.899714950633813,0.211453304761955,0.906447865760626,1
77,1,1,0.951123556586876,0.111247337218952,0.466399440873814,1
78,1,1,0.92022578044974,0.203562726121928,0.890293748309451,1
79,1,1,0.794172646141095,0.229544071091226,0.99841737179701,1
80,1,1,0.690463410200059,0.252127382926733,0.941059832273172,1
81,1,1,0.658956090819648,0.0280605998355133,0.102016095305296,1
82,1,1,0.86151503671925,0.168612768918907,0.866318246594194,1
83,1,1,0.874538957633941,0.171364487556803,0.870449091775961,1
84,1,1,0.813669088904873,0.0982757107752563,0.356349498114962,1
85,1,1,0.882697363222647,0.229786848011436,0.99510558921246,1
86,1,1,0.977293056497009,0.108656404807684,0.493435232951879,1
87,1,1,0.774115800047951,0.239477870442869,0.999989943588658,1
